Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3mm Carbon Rods","Aileron controls",4,5.29,"https://www.amazon.com/METERXITY-5-Pack-Carbon-Length-Airplane/dp/B0FBWYQMGQ/ref=sr_1_3?crid=2AO8NCNMY7ZNJ&dib=eyJ2IjoiMSJ9.eEfuqY-HmYK0zGkdaUwtxbL96ClyEfBSbxBCfK6eyya2BoLaQTWFI6tP4u1wt6fFWluRv3_7V-63v3BIG7T29UVsuWJhfBwWunHOnaWqi7Wiuo8qx5BGttOlX8tH0mo3qX4JSUJENHHnjYoHQKVK2Q0B3u2bbxCtX2YQhwkmb4-3vbC9mTGkdnSAdQQFm4-nYiCbjz6o9RgQ07JpyBu1Ry9z1YgMB0_txTl_duNuASI.G73DVbphgUtLsRA_hy9cyqN3Bzbn6JPNpDXXeanR11Q&dib_tag=se&keywords=3mm%2Bcarbon%2Bfiber%2Brod&qid=1776372767&sprefix=3mm%2Bcarbon%2Bfiber%2Brod%2Caps%2C191&sr=8-3&th=1","Amazon"
"6mm Carbon Tube","Internal structural supports",4,13.50,"https://www.aliexpress.us/item/3256805393236476.html?spm=a2g0o.productlist.main.2.17d6UHGBUHGBAK&algo_pvid=ffddfce3-3309-4541-a430-44d7945b0483&algo_exp_id=ffddfce3-3309-4541-a430-44d7945b0483-1&pdp_ext_f=%7B%22order%22%3A%2279%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2114.00%2113.50%21%21%2114.00%2113.50%21%402101c44517767857397416091eaa1c%2112000033628097693%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2d71e452%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=3NeAKEdVtPZO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005579551228%7C_p_origin_prod%3A","AliExpress"
"Linear Slide Potentiometer","Throttle control on transmitter",2,6.79,"https://www.amazon.com/MECCANIXITY-Straight-Potentiometer-Resistors-Electronic/dp/B0DSNKK8WR/ref=sr_1_4?crid=77OBVF1DFM31&dib=eyJ2IjoiMSJ9.hbD7H0ljVZZsdsqmgVgeHBG5dvHZpH70OB7GducftsBoT9GZygGxRdjzRIYN-iQnOtJu3GftIy_F3o0quLVZw4O-wGq_fG8q6RXchBn8DaHPhjgpT0av8zWl2OAJPzFR_N2LcK3oJCpqWTIumc9Ui1RJrrhWghBhDAFG7TnhkJ5ZfRZRxjsBJ-VwRul7NePty7HnYfbxrbIBTOqLyvU0POVL2WbQL59ku0OEpV-YA3E.PUSREdm8h3v_t5JI2nvTArKK3Vfj5StnGhcfokyhq1s&dib_tag=se&keywords=slider%2Bpotentiometer&qid=1776372519&refinements=p_36%3A-900&rnid=2661611011&sprefix=slider%2Bpotentiometer%2Caps%2C192&sr=8-4&th=1","Amazon"
"ADS1115","Allows me to connect more ADC inputs to the Picos",1,7.78,"https://www.aliexpress.us/item/3256807220994755.html?spm=a2g0o.productlist.main.5.7cc1PEOkPEOk0q&algo_pvid=61c750c3-eee8-420a-be5e-ca579df63607&algo_exp_id=61c750c3-eee8-420a-be5e-ca579df63607-4&pdp_ext_f=%7B%22order%22%3A%2298%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.78%210.99%21%21%2152.76%216.72%21%4021033d9d17763658957382434e2a40%2112000040618890815%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2d71e452%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537307&curPageLogUid=7pV9VBycStcC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007407309507%7C_p_origin_prod%3A","AliExpress"
"Joysticks","Pilot uses to control pitch yaw, roll, on transmitter",5,6.09,"https://www.aliexpress.us/item/3256809857706441.html?spm=a2g0o.productlist.main.13.30ab7Ko07Ko0aO&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005010044021193%7C_p_origin_prod%3A1005008086523681&algo_pvid=af1c16fa-901c-47c3-b7b2-26ea06dbbb67&algo_exp_id=af1c16fa-901c-47c3-b7b2-26ea06dbbb67&pdp_ext_f=%7B%22order%22%3A%226438%22%2C%22orig_sl_item_id%22%3A%221005010044021193%22%2C%22orig_item_id%22%3A%221005008086523681%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.74%210.99%21%21%2118.60%216.72%21%402101ee6617763657438111613eb359%2112000050929684532%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2d71e452%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&gatewayAdapt=4itemAdapt","AliExpress"
"7x4.5 Prop","Connects to motor, generates thrust",4,3.25,"https://shop.addictiverc.com/products/hq-durable-prop-7x4-5-grey?variant=37608342683802&country=US&currency=USD&utm_source=chatgpt.com","AddictiveRC"
"nRF24L01","Radio communication between transmitter and receiver",2,6.56,"https://www.aliexpress.us/item/3256808584668101.html?spm=a2g0o.productlist.main.11.493430f7IJRjdx&algo_pvid=0c5b1cb4-b5c9-497e-99b4-f4d8dc8f0b68&algo_exp_id=0c5b1cb4-b5c9-497e-99b4-f4d8dc8f0b68-10&pdp_ext_f=%7B%22order%22%3A%2258%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.28%210.99%21%21%2122.23%216.71%21%40210337c117763654655658820e1bbf%2112000046602275267%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2d71e452%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537323&curPageLogUid=fnnMEt52ve8q&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008770982853%7C_p_origin_prod%3A","AliExpress"
"Raspberry Pi Pico W","Running firmware for receiver and transmitter",2,2.49,"https://www.aliexpress.us/item/3256808882158444.html?spm=a2g0o.productlist.main.3.22614b8du9LqRV&algo_pvid=ce7b2583-093b-428e-8aec-0a9aa730a2c2&algo_exp_id=ce7b2583-093b-428e-8aec-0a9aa730a2c2-2&pdp_ext_f=%7B%22order%22%3A%223909%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.55%211.21%21%21%2117.31%218.21%21%402101ee6617767860739743911e157e%2112000047802063004%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2d71e452%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=FqfpJdjte9HX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009068473196%7C_p_origin_prod%3A","AliExpress"
"7.4V 2S 500mAh Lipo Battery w/JST","Powering all electrical components in the plane. ",1,14.94,"https://www.amazon.com/Rage-RC-500mAh-Battery-Replacement/dp/B07BH5HYDS","Amazon"
"MG90 9g Servos","Moving control surfaces: ailerons, rudder, elevator",4,13.88,"https://www.amazon.com/Miuzei-Geared-Helicopter-Arduino-Project/dp/B0CP98TZJ2/ref=sr_1_5?crid=177LJV8G7OEJF&dib=eyJ2IjoiMSJ9.c3kL7Mek5QkgzM_eJhqvJflDJWlvBRIxjhV83j-L-FdGWpUnMLyzUX5KaXqQ_bFJk5FUTZQTNWsL3xx4tW31dzDvyiDNUunf3cJzCsUSDUIEC7R0excly2taMCmda2k9BM05VwgzX2-qD6rOQpuf0_8BzOGPcTGUWYFSiYMHWf2eM0GLbb-73D9qJQbfaTwNexsc9Yt_OGjsguon3S6azEiTFBZXAKPXxbALA-LluxQCA4hvp-B_g2EzSmUI0cV0s90PILdCMrn6TveLQ_9H7kDD2PiF8JUJ1P0YWADMUC8.OwbXlR4BwxzbSIOj-Y19ZwEcpNlMzqCjZAT7r4VYMgk&dib_tag=se&keywords=9g%2Bservo&qid=1776364872&sprefix=9g%2Bservo%2Caps%2C194&sr=8-5&th=1","Amazon"
